,datetime,tempmax,tempmin,temp,precip,precipprob,precipcover,preciptype,cloudcover,icon
150,2022-05-31,23.3,7.8,16.4,0.0,0.0,0.0,,77.5,partly-cloudy-day
151,2022-06-01,22.8,11.4,17.2,1.4,100.0,8.33,['rain'],58.7,rain
152,2022-06-02,22.0,9.5,16.2,0.0,0.0,0.0,['rain'],69.6,partly-cloudy-day
153,2022-06-03,22.3,9.8,15.5,10.0,100.0,12.5,['rain'],53.9,rain
154,2022-06-04,20.4,9.6,14.5,0.0,0.0,0.0,,59.4,partly-cloudy-day
155,2022-06-05,22.6,5.0,15.0,0.0,0.0,0.0,,54.2,partly-cloudy-day
156,2022-06-06,22.6,7.8,15.9,0.0,0.0,0.0,,73.6,partly-cloudy-day
157,2022-06-07,25.8,9.1,17.8,0.0,0.0,0.0,,38.6,partly-cloudy-day
158,2022-06-08,23.5,15.1,18.8,0.0,0.0,0.0,,67.0,partly-cloudy-day
159,2022-06-09,29.3,9.0,19.6,0.0,0.0,0.0,,16.5,clear-day
160,2022-06-10,30.5,13.7,22.2,0.0,0.0,0.0,['rain'],58.9,partly-cloudy-day
161,2022-06-11,29.6,14.3,21.9,0.1,100.0,4.17,['rain'],49.4,rain
162,2022-06-12,31.4,16.2,24.4,0.0,0.0,0.0,,41.3,partly-cloudy-day
163,2022-06-13,32.5,14.0,23.9,0.0,0.0,0.0,,19.8,clear-day
164,2022-06-14,33.3,18.8,25.8,0.0,0.0,0.0,,45.3,partly-cloudy-day
165,2022-06-15,34.3,13.1,24.6,0.0,0.0,0.0,,39.0,partly-cloudy-day
166,2022-06-16,33.1,17.4,24.7,2.0,100.0,4.17,['rain'],65.3,rain
167,2022-06-17,33.5,16.6,24.8,1.1,100.0,8.33,['rain'],79.7,rain
168,2022-06-18,28.3,20.0,24.3,0.9,100.0,4.17,['rain'],42.0,rain
169,2022-06-19,20.1,11.5,15.7,1.1,100.0,8.33,['rain'],49.2,rain
170,2022-06-20,19.3,9.8,13.2,5.3,100.0,12.5,['rain'],83.3,rain
171,2022-06-21,18.1,8.1,13.5,0.0,0.0,0.0,,73.3,partly-cloudy-day
172,2022-06-22,19.3,7.6,13.3,2.7,100.0,8.33,['rain'],58.3,rain
173,2022-06-23,18.0,11.4,13.6,0.7,100.0,12.5,['rain'],66.4,rain
174,2022-06-24,20.6,9.5,14.1,0.0,0.0,0.0,,75.3,partly-cloudy-day
175,2022-06-25,19.2,11.1,14.8,0.0,0.0,0.0,,64.7,partly-cloudy-day
176,2022-06-26,19.4,7.2,12.4,0.0,0.0,0.0,,70.1,partly-cloudy-day
177,2022-06-27,22.5,3.6,14.2,0.0,0.0,0.0,,33.6,partly-cloudy-day
178,2022-06-28,26.2,6.7,16.8,0.0,0.0,0.0,,14.8,clear-day
179,2022-06-29,22.5,8.7,16.5,0.0,0.0,0.0,,27.7,partly-cloudy-day
180,2022-06-30,21.4,7.0,13.5,0.0,0.0,0.0,,53.8,partly-cloudy-day
181,2022-07-01,25.8,5.8,15.7,0.0,0.0,0.0,,0.7,clear-day
182,2022-07-02,30.8,13.0,22.2,0.0,0.0,0.0,,7.9,clear-day
183,2022-07-03,25.5,13.9,19.4,0.0,0.0,0.0,['rain'],44.3,partly-cloudy-day
184,2022-07-04,28.6,10.3,19.6,0.0,0.0,0.0,,31.7,partly-cloudy-day
185,2022-07-05,29.5,11.3,19.8,0.0,0.0,0.0,,44.8,partly-cloudy-day
186,2022-07-06,26.4,15.0,19.1,0.5,100.0,4.17,['rain'],61.9,rain
187,2022-07-07,28.3,7.1,18.6,0.0,0.0,0.0,,10.1,clear-day
188,2022-07-08,30.6,8.7,21.1,0.0,0.0,0.0,,0.0,clear-day
189,2022-07-09,32.5,10.3,23.1,0.0,0.0,0.0,,5.8,clear-day
190,2022-07-10,33.5,11.5,24.5,0.0,0.0,0.0,,7.0,clear-day
191,2022-07-11,34.8,15.6,26.3,0.0,0.0,0.0,,17.4,clear-day
192,2022-07-12,35.8,17.7,27.4,0.0,0.0,0.0,,8.5,clear-day
193,2022-07-13,36.5,18.6,27.6,0.0,0.0,0.0,,25.0,partly-cloudy-day
194,2022-07-14,36.7,17.6,28.1,0.0,0.0,0.0,,35.2,partly-cloudy-day
195,2022-07-15,36.1,19.6,28.9,0.0,0.0,0.0,,33.1,partly-cloudy-day
196,2022-07-16,37.2,22.5,29.6,0.0,0.0,0.0,,54.6,partly-cloudy-day
197,2022-07-17,37.5,25.0,30.5,0.0,0.0,0.0,,47.1,partly-cloudy-day
198,2022-07-18,34.2,22.9,28.3,0.0,0.0,0.0,,50.9,partly-cloudy-day
199,2022-07-19,26.0,12.3,19.9,0.0,0.0,0.0,,59.4,partly-cloudy-day
200,2022-07-20,29.6,11.3,20.9,0.0,0.0,0.0,,29.7,partly-cloudy-day
201,2022-07-21,33.3,14.7,25.1,0.0,0.0,0.0,,5.4,clear-day
202,2022-07-22,31.4,14.7,23.0,0.0,0.0,0.0,,57.1,partly-cloudy-day
203,2022-07-23,31.6,11.0,22.0,0.0,0.0,0.0,,2.2,clear-day
204,2022-07-24,33.2,17.1,25.2,0.0,0.0,0.0,,17.4,clear-day
205,2022-07-25,29.4,14.8,22.6,0.0,0.0,0.0,,15.0,clear-day
206,2022-07-26,27.6,11.0,19.0,0.0,0.0,0.0,,40.9,partly-cloudy-day
207,2022-07-27,29.4,10.5,19.6,0.0,0.0,0.0,,13.0,clear-day
208,2022-07-28,29.0,9.3,19.9,0.0,0.0,0.0,,48.1,partly-cloudy-day
209,2022-07-29,28.9,12.5,20.6,0.0,0.0,0.0,,18.4,clear-day
210,2022-07-30,30.8,12.0,21.8,0.0,0.0,0.0,,2.5,clear-day
211,2022-07-31,32.5,13.8,23.4,0.0,0.0,0.0,,7.1,clear-day
212,2022-08-01,34.1,16.4,25.3,0.0,0.0,0.0,,20.7,partly-cloudy-day
213,2022-08-02,35.4,15.0,26.6,0.0,0.0,0.0,,34.6,partly-cloudy-day
214,2022-08-03,32.5,18.8,26.1,1.0,100.0,4.17,['rain'],64.5,rain
215,2022-08-04,32.5,16.5,24.5,0.0,0.0,0.0,,24.8,partly-cloudy-day
216,2022-08-05,30.2,13.9,22.4,0.0,0.0,0.0,,29.2,partly-cloudy-day
217,2022-08-06,31.6,11.8,22.8,0.0,0.0,0.0,,17.5,clear-day
218,2022-08-07,32.7,14.0,25.1,0.0,0.0,0.0,,23.0,partly-cloudy-day
219,2022-08-08,32.0,19.3,25.1,0.0,0.0,0.0,,35.2,partly-cloudy-day
220,2022-08-09,32.4,19.1,26.1,0.0,0.0,0.0,,40.4,partly-cloudy-day
221,2022-08-10,31.0,22.1,26.1,0.5,100.0,12.5,['rain'],59.9,rain
222,2022-08-11,31.5,17.0,24.0,1.2,100.0,8.33,['rain'],29.3,rain
223,2022-08-12,32.2,16.0,24.5,0.0,0.0,0.0,,13.4,clear-day
224,2022-08-13,29.8,14.8,22.6,0.0,0.0,0.0,,24.1,partly-cloudy-day
225,2022-08-14,26.6,12.3,19.6,0.0,0.0,0.0,,17.0,clear-day
226,2022-08-15,27.0,10.5,18.9,0.0,0.0,0.0,,21.2,partly-cloudy-day
227,2022-08-16,20.7,13.2,16.7,0.0,0.0,0.0,,59.5,partly-cloudy-day
228,2022-08-17,20.0,11.0,15.5,0.0,0.0,0.0,['rain'],51.7,partly-cloudy-day
229,2022-08-18,24.9,5.4,15.5,0.0,0.0,0.0,,6.2,clear-day
230,2022-08-19,27.7,9.0,18.3,0.0,0.0,0.0,,1.0,clear-day
231,2022-08-20,30.5,11.8,21.7,0.0,0.0,0.0,,29.5,partly-cloudy-day
232,2022-08-21,30.9,13.8,22.3,0.0,0.0,0.0,,30.7,partly-cloudy-day
233,2022-08-22,29.5,14.8,22.4,0.0,0.0,0.0,,20.1,partly-cloudy-day
234,2022-08-23,31.6,13.6,22.7,0.0,0.0,0.0,['rain'],43.0,partly-cloudy-day
235,2022-08-24,32.5,18.5,25.1,4.0,100.0,4.17,['rain'],66.4,rain
236,2022-08-25,27.1,15.1,20.6,0.0,0.0,0.0,,33.7,partly-cloudy-day
237,2022-08-26,27.0,10.0,19.3,0.0,0.0,0.0,,49.4,partly-cloudy-day
238,2022-08-27,29.3,12.0,20.9,0.0,0.0,0.0,,68.9,partly-cloudy-day
239,2022-08-28,31.2,16.8,24.3,0.0,0.0,0.0,,44.6,partly-cloudy-day
240,2022-08-29,24.6,14.4,20.1,7.0,100.0,8.33,['rain'],61.0,rain
241,2022-08-30,27.3,13.0,19.7,0.0,0.0,0.0,,26.9,partly-cloudy-day
242,2022-08-31,27.0,11.7,18.9,0.0,0.0,0.0,,60.3,partly-cloudy-day
243,2022-09-01,24.3,10.9,18.2,0.0,0.0,0.0,,65.7,partly-cloudy-day
244,2022-09-02,23.0,10.0,16.6,0.0,0.0,0.0,,56.6,partly-cloudy-day
245,2022-09-03,23.5,10.6,16.6,0.0,0.0,0.0,,62.1,partly-cloudy-day
246,2022-09-04,23.3,4.8,14.9,0.0,0.0,0.0,,12.6,clear-day
247,2022-09-05,23.0,6.8,15.6,0.0,0.0,0.0,,38.6,partly-cloudy-day
248,2022-09-06,22.4,11.4,16.2,0.0,0.0,0.0,,69.0,partly-cloudy-day
249,2022-09-07,21.1,9.7,14.9,0.0,0.0,0.0,['rain'],68.3,partly-cloudy-day
250,2022-09-08,23.3,10.5,16.5,0.0,0.0,0.0,,54.9,partly-cloudy-day
251,2022-09-09,26.8,10.6,18.6,0.0,0.0,0.0,,33.2,partly-cloudy-day
252,2022-09-10,28.0,12.0,19.6,0.0,0.0,0.0,,9.2,clear-day
253,2022-09-11,30.1,14.0,21.8,0.0,0.0,0.0,,46.8,partly-cloudy-day
254,2022-09-12,24.2,15.6,19.1,1.5,100.0,8.33,['rain'],86.2,rain
255,2022-09-13,18.5,14.4,16.4,17.4,100.0,29.17,['rain'],91.6,rain
256,2022-09-14,18.3,13.4,14.9,21.1,100.0,29.17,['rain'],89.8,rain
257,2022-09-15,21.3,14.5,16.7,8.3,100.0,16.67,['rain'],75.2,rain
258,2022-09-16,23.6,12.4,17.4,0.0,0.0,0.0,,42.4,partly-cloudy-day
259,2022-09-17,21.0,9.0,14.4,0.0,0.0,0.0,,59.9,partly-cloudy-day
260,2022-09-18,26.5,7.7,16.7,0.0,0.0,0.0,,79.8,partly-cloudy-day
261,2022-09-19,27.3,12.1,18.6,2.0,100.0,4.17,['rain'],43.8,rain
262,2022-09-20,25.7,10.6,17.9,0.0,0.0,0.0,,11.4,clear-day
263,2022-09-21,25.3,8.7,16.6,0.0,0.0,0.0,,10.6,clear-day
264,2022-09-22,25.5,8.5,16.8,0.0,0.0,0.0,,19.7,clear-day
265,2022-09-23,24.0,10.3,16.6,0.0,0.0,0.0,,85.7,partly-cloudy-day
266,2022-09-24,16.3,8.8,12.5,0.0,0.0,0.0,,49.6,partly-cloudy-day
267,2022-09-25,16.2,3.5,9.6,0.0,0.0,0.0,,22.1,partly-cloudy-day
268,2022-09-26,17.3,3.5,10.7,0.0,0.0,0.0,,22.2,partly-cloudy-day
269,2022-09-27,19.5,7.5,13.0,0.0,0.0,0.0,,37.4,partly-cloudy-day
270,2022-09-28,19.3,9.0,13.1,0.0,0.0,0.0,,62.8,partly-cloudy-day
271,2022-09-29,17.0,9.3,11.7,0.0,0.0,0.0,['rain'],76.3,partly-cloudy-day
272,2022-09-30,19.2,5.6,11.9,0.2,100.0,4.17,['rain'],58.0,rain
273,2022-10-01,22.3,3.0,13.0,0.0,0.0,0.0,,38.3,partly-cloudy-day
274,2022-10-02,25.2,7.0,15.6,0.0,0.0,0.0,,48.8,partly-cloudy-day
275,2022-10-03,27.0,9.3,17.8,0.0,0.0,0.0,,5.7,clear-day
276,2022-10-04,27.8,9.7,18.4,0.0,0.0,0.0,,0.4,clear-day
277,2022-10-05,25.3,6.7,15.9,0.0,0.0,0.0,,0.7,clear-day
278,2022-10-06,22.1,9.0,15.8,0.0,0.0,0.0,,73.3,partly-cloudy-day
279,2022-10-07,23.4,11.7,16.6,4.0,100.0,4.17,['rain'],54.4,rain
280,2022-10-08,21.5,9.8,15.6,3.0,100.0,4.17,['rain'],45.8,rain
281,2022-10-09,22.5,8.4,14.7,0.0,0.0,0.0,,44.1,partly-cloudy-day
282,2022-10-10,19.5,10.4,14.6,2.1,100.0,8.33,['rain'],71.4,rain
283,2022-10-11,19.9,9.7,15.0,0.0,0.0,0.0,,62.2,partly-cloudy-day
284,2022-10-12,20.4,6.9,13.3,0.0,0.0,0.0,,37.2,partly-cloudy-day
285,2022-10-13,23.0,7.0,14.4,0.0,0.0,0.0,,63.4,partly-cloudy-day
286,2022-10-14,24.2,8.8,16.2,0.0,0.0,0.0,,28.1,partly-cloudy-day
287,2022-10-15,19.9,5.8,13.6,0.0,0.0,0.0,,44.3,partly-cloudy-day
288,2022-10-16,20.0,7.5,13.2,2.0,100.0,4.17,['rain'],76.2,rain
289,2022-10-17,17.3,12.0,13.7,2.3,100.0,12.5,['rain'],93.1,rain
290,2022-10-18,21.2,11.8,15.4,0.0,0.0,0.0,,63.0,partly-cloudy-day
291,2022-10-19,15.0,10.0,11.5,8.0,100.0,4.17,['rain'],87.2,rain
292,2022-10-20,14.4,9.3,11.5,7.1,100.0,12.5,['rain'],83.1,rain
293,2022-10-21,15.9,9.9,12.0,0.1,100.0,4.17,['rain'],73.8,rain
